LAT,LONGITUDE,AREA,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM_PRED,MATTVEG,NEWCOUNTRYID,PREC_NEW
42,19,0,0,0,0,0,,,,,914.06,10,70,2359
-32,-57,10.47769,252.8497,181.7542,168.6656,156.602,156602,181754.2,252849.7,168665.6,199.2563,25,76,1346.5
-25,-56,33.62301,639.8335,109.1993,109.1993,109.1993,580072.4,109199.3,639833.5,188349.1,255.1435,9,76,1685
-11,-73,12.15342,565.7923,565.7923,522.7566,522.7566,630609.5,683543.5,565792.3,522756.6,387.5679,1,76,1650.5
-11,-72,36.46025,604.4861,604.4861,547.9117,547.9117,615035.5,671245.9,604486.1,547911.6,367.7317,1,76,2298.3
-11,-36,0,0.2873,0.2873,0.2873,0.2873,522919.3,1508678,287.26,66590.9,0,0,76,1621.6
-8,-75,0,520.2774,441.4826,184.3687,184.3687,963283,441482.6,520277.4,184368.7,232.4209,1,76,1784.5
2,-58,12.35509,384.9028,384.9028,384.9028,341.525,341525,461270,384902.8,460950.9,244.2963,24,76,2073.4
3,-51,12.34964,0.8852,0.8852,0.8852,0.8852,486620.9,511721.4,885.16,546558.6,10.22034,0,76,3482.3
3,16,0,627.4135,627.4135,19.5632,19.5632,446003.6,1007535,627413.5,19563.2,547.1895,1,120,1620.4
13,14,361.9061,1085.341,1085.341,37.3248,4.7014,4701.4,2082788,1085341,37324.8,289.7858,0,120,338.5
51,-64,7773.164,133.8111,133.8111,133.8111,116.3476,116347.6,731828.7,133811.1,754856.2,573.5163,8,124,893.2
51,-63,7773.164,134.4019,134.4019,134.4019,134.4019,153765.4,781171.1,134401.9,805513.3,496.1712,8,124,898.7
51,-62,7773.164,143.4104,143.4104,143.4104,143.4104,205771.2,833294.2,143410.4,858713,411.5679,8,124,995.7
51,-61,7773.164,114.2604,114.2604,114.2604,114.2604,263858,887702.5,114260.4,914005.7,389.6089,8,124,1147.2
52,-70,7605.392,320.0106,320.0106,320.0106,209.7864,209786.4,645935.2,320010.6,648564.4,633.2488,14,124,857.3
52,-69,7605.392,283.0884,283.0884,283.0884,145.3123,145312.3,659120.1,283088.4,666131.7,650.5082,14,124,883.3
53,-70,7435.375,411.6434,411.6434,411.6434,215.8604,215860.4,756157.8,411643.4,757551.2,601.6494,14,124,813
53,-69,7435.375,384.0539,384.0539,384.0539,154.9459,154945.9,767240.2,384053.9,772363,605.0484,14,124,813.1
54,-70,7263.159,511.0748,511.0748,511.0748,265.743,265743,866670.8,511074.8,867140.9,542.5946,14,124,756.1
54,-69,7263.159,489.4851,489.4851,489.4851,220.0254,220025.4,876171.9,489485.1,879863,576.5257,14,124,757.3
55,-70,7088.785,614.5502,614.5502,614.5502,345.4655,345465.5,977382.1,614550.3,977136.7,488.8915,22,124,661
55,-69,7088.785,597.0704,597.0704,597.0704,312.3668,312366.8,985652.3,597070.4,988224,448.8768,14,124,672.7
55,-66,7088.785,577.9646,577.9646,577.9646,281.8414,281841.4,1035938,577964.6,1046355,497.7376,22,124,682.9
55,-65,7088.785,576.5863,576.5863,576.5863,288.6441,288644.1,1060515,576586.3,1073266,463.2212,22,124,671.3
56,-76,6912.295,901.9669,901.9669,901.9669,695.0512,695051.2,1114719,901966.9,1111724,231.8849,22,124,570.1
56,-75,6912.295,862.6837,862.6837,862.6837,644.5496,644549.6,1101697,862683.7,1097911,266.1134,22,124,573
56,-74,6912.295,826.4434,826.4434,826.4434,596.2349,596234.9,1092485,826443.4,1087902,308.8135,22,124,579.6
56,-73,6912.295,793.6675,793.6675,793.6675,550.6896,550689.6,1087183,793667.6,1081803,348.8271,22,124,584.4
56,-72,6912.295,764.7646,764.7646,764.7646,508.6645,508664.5,1085272,764764.6,1079682,366.6325,22,124,584.3
56,-71,6912.295,740.1666,740.1666,740.1666,471.1081,471108.1,1084897,740166.6,1081561,388.3097,22,124,577.4
56,-70,6912.295,720.3871,720.3871,720.3871,439.1737,439173.7,1088237,720387.1,1087421,347.805,22,124,570.2
56,-69,6912.295,705.834,705.834,705.834,414.1678,414167.8,1095522,705834,1097196,276.9176,14,124,579.7
56,-68,6912.295,696.8365,696.8365,696.8365,397.4038,397403.8,1106676,696836.4,1110783,339.8117,14,124,607.8
56,-67,6912.295,692.1366,692.1366,692.1366,389.9482,389948.2,1121580,692136.6,1128041,364.4116,14,124,626.7
56,-66,6912.295,689.274,689.274,689.274,392.1208,392120.8,1140086,689274,1148803,438.0357,22,124,626.7
57,-78,53.86986,1083.609,1083.609,1083.609,861.2357,861235.7,1295641,1083609,1293175,58.52621,0,124,457.6
57,-76,6733.733,986.819,986.819,986.819,758.6304,758630.4,1222919,986819,1219576,206.498,22,124,493.5
57,-75,6733.733,951.7896,951.7896,951.7896,713.6154,713615.4,1211303,951789.6,1207256,241.3138,22,124,505.5
57,-74,6733.733,919.7481,919.7481,919.7481,671.2083,671208.3,1203103,919748.1,1198346,289.1279,22,124,517.2
57,-73,6733.733,890.9845,890.9845,890.9845,631.9401,631940.1,1198388,890984.5,1192926,316.6245,22,124,528.8
57,-72,6733.733,865.8118,865.8118,865.8118,596.4362,596436.2,1196606,865811.8,1191041,310.0436,22,124,539.1
57,-71,6733.733,844.6101,844.6101,844.6101,565.4109,565410.9,1196231,844610.1,1192711,275.9396,22,124,545.4
57,-70,6706.798,827.4255,827.4255,827.4255,539.4137,539413.7,1198882,827425.5,1197597,213.9741,22,124,545.3
57,-69,6679.863,815.0035,815.0035,815.0035,519.6011,519601.1,1205401,815003.5,1206345,203.5621,14,124,547.4
57,-68,6726.999,807.6426,807.6426,807.6426,506.881,506881,1215570,807642.6,1218689,196.8753,14,124,565.6
57,-67,6733.733,803.3588,803.3588,803.3588,501.229,501229,1228926,803358.8,1234167,271.3645,14,124,595.3
57,-66,6733.733,800.6105,800.6105,800.6105,502.8866,502886.6,1245497,800610.4,1252787,390.5718,14,124,626
58,-78,5314.598,1152.351,1152.351,1152.351,922.9206,922920.6,1369648,1152351,1367197,75.51265,22,124,453.3
58,-77,6553.141,1110.485,1110.485,1110.485,874.6672,874667.2,1345099,1110485,1342093,140.2581,22,124,462.9
58,-76,6553.141,1076.528,1076.528,1076.528,832.326,832326,1331657,1076528,1328025,179.1997,22,124,471.5
58,-75,6553.141,1045.188,1045.188,1045.188,792.3841,792384.1,1321220,1045188,1316956,207.2416,22,124,478.7
58,-74,6553.141,1016.673,1016.673,1016.673,755.2273,755227.3,1313863,1016673,1308964,228.6513,22,124,486.4
58,-73,6553.141,991.2279,991.2279,991.2279,721.2911,721291.1,1309637,991227.9,1304106,230.7936,22,124,498
58,-72,6553.141,969.1386,969.1386,969.1386,691.0544,691054.4,1307957,969138.6,1302419,240.06,22,124,510.6
58,-71,6520.375,950.5329,950.5329,950.5329,664.9401,664940.1,1307432,950532.9,1303754,208.2619,22,124,521.2
59,-140,0,15.1948,15.1948,15.1948,15.1948,225337.3,1811237,15194.8,1522908,338.5003,0,124,3601.6
59,-79,210.2286,1218.468,1218.468,1218.468,986.2357,986235.7,1434292,1218468,1432015,17.21434,0,124,470
59,-77,6370.563,1200.643,1200.643,1200.643,951.6235,951623.5,1452985,1200643,1449675,102.1872,22,124,472.8
59,-76,6370.563,1169.982,1169.982,1169.982,913.6998,913699.8,1440815,1169982,1436939,139.3858,22,124,468.6
59,-75,6370.563,1141.791,1141.791,1141.791,878.2554,878255.4,1431381,1141791,1426933,172.3126,22,124,464.9
59,-74,6370.563,1116.272,1116.272,1116.272,845.6066,845606.6,1424737,1116272,1419717,195.2062,22,124,465.9
59,-73,6370.563,1093.644,1093.644,1093.644,816.0932,816093.2,1420924,1093644,1415335,213.6477,22,124,469
59,-72,6370.563,1074.093,1074.093,1074.093,790.0703,790070.3,1419326,1074093,1413814,227.5883,22,124,474.8
59,-71,6236.781,1056.823,1056.823,1056.823,766.9878,766987.8,1417890,1056823,1414079,180.7066,22,124,481.9
59,-66,2981.423,876.7201,876.7201,876.7201,715.9929,715992.9,1452799,876720.1,1458304,191.5189,22,124,568.6
60,-105,6186.04,1553.326,1553.326,1546.865,1341.123,1341123,1821726,1553326,1546865,395,14,124,278.1
60,-104,6186.04,1607.199,1607.199,1588.587,1370.769,1370769,1854316,1607200,1588587,388,22,124,272.3
60,-103,6186.04,1661.281,1661.281,1631.488,1355.896,1355896,1888431,1661281,1631488,348,22,124,263.8
60,-102,6186.04,1715.546,1715.546,1675.473,1336.853,1336853,1923987,1715546,1675473,348,14,124,256.8
60,-101,6186.04,1769.969,1769.969,1720.454,1320.404,1320404,1960807,1769969,1720454,324,14,124,258.8
60,-100,6186.04,1824.531,1824.531,1766.349,1306.635,1306635,1998612,1824531,1766349,296,14,124,277.3
60,-99,6186.04,1879.214,1879.214,1780.894,1295.67,1295670,2037638,1879214,1780894,281,22,124,310.5
60,-98,6186.04,1934,1934,1769.395,1287.582,1287582,2041791,1934000,1769395,192,22,124,345
60,-97,6186.04,1988.876,1988.876,1760.153,1282.425,1282425,2028011,1988876,1760153,151,22,124,368.1
60,-96,6186.04,2024.832,2016.243,1753.204,1280.237,1280237,2016243,2024832,1753204,78,22,124,383.2
60,-95,2839.392,1996.322,1996.322,1760.581,1291.289,1291289,2019652,1996322,1760581,11,0,124,390.8
60,-77,6136.551,1294.323,1294.323,1294.323,1035.031,1035031,1561666,1294323,1558093,107,22,124,439.1
60,-76,6186.04,1266.311,1266.311,1266.311,1000.886,1000886,1550309,1266312,1546223,179,22,124,439.9
60,-75,6186.04,1240.372,1240.372,1240.372,969.3494,969349.4,1541736,1240372,1537131,243,22,124,439.8
60,-74,6186.04,1194.795,1194.795,1194.795,940.5204,940520.4,1535704,1194795,1530581,270,22,124,439.2
60,-73,6186.04,1149.59,1149.59,1149.59,914.6591,914659.1,1532244,1149590,1526606,274,22,124,439.4
60,-72,6186.04,1104.926,1104.926,1104.926,892.027,892027,1530713,1104926,1525226,265,22,124,438.4
61,-105,5999.616,1581.027,1581.027,1581.027,1389.8,1389800,1913877,1581027,1623355,371,22,124,254.9
61,-104,5999.616,1633.312,1633.312,1633.312,1437.808,1437808,1944239,1633312,1662286,342,22,124,246.9
61,-103,5999.616,1685.839,1685.839,1685.839,1460.077,1460077,1976086,1685839,1702431,330,22,124,238.1
61,-102,5999.616,1738.379,1738.379,1738.379,1442.804,1442804,2009343,1738379,1743702,316,22,124,229.9
61,-101,5999.616,1790.933,1790.933,1786.017,1427.884,1427884,2043937,1790934,1786017,306,22,124,230.7
61,-100,5999.616,1843.695,1843.695,1829.298,1415.445,1415445,2079798,1843695,1829298,303,22,124,246.9
61,-99,5999.616,1896.641,1896.641,1873.472,1405.554,1405555,2116736,1896641,1873472,258,22,124,272.3
61,-98,5999.616,1949.748,1949.748,1878.954,1398.268,1398268,2149361,1949748,1878954,184,22,124,300.6
61,-97,5999.616,2003,2003,1870.447,1393.627,1393627,2136567,2003000,1870447,142,22,124,324.5
61,-96,5999.616,2056.377,2056.377,1864.054,1391.658,1391658,2125649,2056377,1864054,85,22,124,338.4
61,-93,5.999616,2007.995,2007.995,1899.476,1436.221,1436221,2140713,2007995,1899476,43.5,0,124,350.1
61,-79,89.99424,1319.37,1319.37,1319.37,1209.224,1209224,1733856,1319370,1730666,6,0,124,380.8
61,-78,4865.688,1311.129,1311.129,1311.129,1155.253,1155253,1684201,1311129,1680828,73,22,124,386.4
61,-77,5999.616,1269.763,1269.763,1269.763,1123.042,1123042,1670190,1269763,1666393,207,22,124,393.8
61,-76,5999.616,1223.517,1223.517,1223.517,1092.5,1092500,1660075,1223517,1655808,297,22,124,403.6
61,-75,5999.616,1177.607,1177.607,1177.607,1064.331,1064331,1652249,1177607,1647510,340,22,124,412.7
61,-74,5999.616,1132.08,1132.08,1132.08,1038.731,1038732,1646747,1132080,1641536,471,22,124,420.3
62,-105,5811.333,1613.238,1613.238,1613.238,1444.168,1444168,2007997,1613238,1703715,312,22,124,245.1
62,-104,5811.333,1663.364,1663.364,1663.364,1490.638,1490638,2036304,1663364,1740015,318,22,124,242.1
62,-103,5811.333,1713.817,1713.817,1713.817,1536.586,1536586,2066046,1713817,1777543,289,22,124,240.9
62,-102,5811.333,1764.561,1764.561,1764.561,1549.509,1549509,2097160,1764561,1816221,269,22,124,240.7
62,-101,5811.333,1815.567,1815.567,1815.567,1535.943,1535943,2129581,1815567,1855970,283,22,124,244.3
62,-100,5811.333,1866.808,1866.808,1866.808,1524.649,1524649,2163248,1866808,1896719,274,22,124,252.7
62,-99,5811.333,1918.258,1918.258,1918.258,1515.681,1515681,2198098,1918258,1938401,176,22,124,264.4
62,-98,5811.333,1969.895,1969.895,1969.895,1509.08,1509080,2234072,1969895,1980951,142,22,124,277.9
62,-97,5811.333,2021.7,2021.7,1980.884,1504.878,1504878,2245421,2021700,1980884,136,22,124,290.4
62,-96,5811.333,2073.652,2073.652,1974.985,1503.097,1503097,2235270,2073652,1974986,91,22,124,300.5
62,-95,5811.333,2074.369,2074.369,1971.06,1503.038,1503038,2226897,2074369,1971060,65,22,124,309.1
62,-92,1016.983,1917.104,1917.104,1917.104,1554.917,1554917,2172074,1917104,2014506,26,0,124,324.6
