lat,long,price,sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15
47.5112,-122.257,221900,1180,5650,1180,0,1340,5650
47.721,-122.319,538000,2570,7242,2170,400,1690,7639
47.7379,-122.233,180000,770,10000,770,0,2720,8062
47.5208,-122.393,604000,1960,5000,1050,910,1360,5000
47.6168,-122.045,510000,1680,8080,1680,0,1800,7503
47.6561,-122.005,1.23E+06,5420,101930,3890,1530,4760,101930
47.3097,-122.327,257500,1715,6819,1715,0,2238,6819
47.4095,-122.315,291850,1060,9711,1060,0,1650,9711
47.5123,-122.337,229500,1780,7470,1050,730,1780,8113
47.3684,-122.031,323000,1890,6560,1890,0,2390,7570
47.6007,-122.145,662500,3560,9796,1860,1700,2210,8925
47.69,-122.292,468000,1160,6000,860,300,1330,6000
47.7558,-122.229,310000,1430,19901,1430,0,1780,12697
47.6127,-122.045,400000,1370,9680,1370,0,1370,10208
47.67,-122.394,530000,1810,4850,1810,0,1360,4850
47.5714,-122.375,650000,2950,5000,1980,970,2140,4000
47.7277,-121.962,395000,1890,14040,1890,0,1890,14018
47.6648,-122.343,485000,1600,4300,1600,0,1610,4300
47.3089,-122.21,189000,1200,9850,1200,0,1060,5095
47.3343,-122.306,230000,1250,9774,1250,0,1280,8850
47.7025,-122.341,385000,1620,4980,860,760,1400,4980
47.5316,-122.233,2.00E+06,3050,44867,2330,720,4110,20336
47.3266,-122.169,285000,2270,6300,2270,0,2240,7005
47.3533,-122.166,252700,1070,9643,1070,0,1220,8386
47.3739,-122.172,329000,2450,6500,2450,0,2200,6865
47.3048,-122.218,233000,1710,4697,1710,0,1030,4705
47.6386,-122.36,937000,2450,2691,1750,700,1760,3573
47.6221,-122.314,667000,1400,1581,1400,0,1860,3861
47.695,-122.304,438000,1520,6380,790,730,1520,6235
47.7073,-122.11,719000,2570,7173,2570,0,2630,6026
47.5391,-122.07,580500,2320,3980,2320,0,2580,3980
47.7274,-122.357,280000,1190,1265,1190,0,1390,1756
47.6823,-122.368,687500,2330,5000,1510,820,1460,5000
47.6889,-122.375,535000,1090,3000,1090,0,1570,5080
47.4276,-122.157,322500,2060,6659,1280,780,2020,8720
47.6827,-122.31,696000,2300,3060,1510,790,1590,3264
47.6621,-122.132,550000,1660,34848,930,730,2160,11467
47.6702,-122.362,640000,2360,6000,2360,0,1730,4700
47.3341,-122.282,240000,1220,8075,890,330,1290,7800
47.5301,-122.18,605000,2620,7553,2620,0,2620,11884
47.6145,-122.027,625000,2570,5520,2570,0,2470,5669
47.445,-122.347,775000,4220,24186,2600,1620,2410,30617
47.6848,-122.016,861990,3595,5639,3595,0,3625,5639
47.6413,-122.364,685000,1570,2280,1570,0,1580,2640
47.4485,-122.175,309000,1280,9656,920,360,1340,8808
47.7443,-121.977,488000,3160,13603,3160,0,3050,9232
47.3066,-122.371,210490,990,8528,990,0,1228,8840
47.6194,-122.151,785000,2290,13416,2290,0,2680,13685
47.6796,-122.301,450000,1250,5963,1250,0,970,5100
47.4041,-122.451,1.35E+06,2753,65005,2165,588,2680,72513
47.4258,-122.322,228000,1190,9199,1190,0,1190,9364
47.4934,-122.189,345000,3150,9134,1640,1510,1990,9133
